"ID","SUBREG.x","MEDIA_ALTU","SUMA_DAP_X","AREA_BASAL","richness","long","lat","FECHA_UM_A","PENDIENT_1","FECHA_UM_1"
34085024,"Chaco SemiÃƒÂ¡rido","6.633333333","4.79758184","7.841250016",30,"-62.15101667","-23.94278333",2018,"sin_pendiente",2018
34085026,"Chaco SemiÃƒÂ¡rido","5.93125","2.859253438","4.80472408",14,"-62.14988333","-24.12331667",2018,"sin_pendiente",2018
34086021,"Chaco SemiÃƒÂ¡rido","5.366666667","4.061486174","6.40629592",33,"-62.0548","-23.67133333",2018,"sin_pendiente",2018
34086023,"Chaco SemiÃƒÂ¡rido","7.52","2.369856294","5.367528858",10,"-62.05356667","-23.85193333",2018,NA,2018
34086025,"Chaco SemiÃƒÂ¡rido","6.269565217","3.793516795","9.39171262",23,"-62.0522","-24.03245",2018,"sin_pendiente",2018
34087021,"Chaco SemiÃƒÂ¡rido","5.969230769","5.900104514","13.25543019",39,"-61.95675","-23.67068333",2018,"sin_pendiente",2018
34087022,"Chaco SemiÃƒÂ¡rido","5.3","4.088055639","9.754952044",31,"-61.95608333","-23.76096667",2018,"sin_pendiente",2018
34087023,"Chaco SemiÃƒÂ¡rido","5.7125","4.672415481","7.575616654",39,"-61.95535","-23.85128333",2018,"sin_pendiente",2018
34087025,"Chaco SemiÃƒÂ¡rido","5.393103448","3.962405327","7.937514069",29,"-61.9539","-24.03185",2018,NA,2018
34087027,"Chaco SemiÃƒÂ¡rido","6.456521739","7.03572693","14.11300982",46,"-61.95243333","-24.21238333",2018,"sin_pendiente",2018
34088024,"Chaco SemiÃƒÂ¡rido","5.295238095","2.091743482","3.28864825",21,"-61.85641667","-23.94085",2018,"sin_pendiente",2018
34088025,"Chaco SemiÃƒÂ¡rido","5.947058824","4.773321216","8.569657882",34,"-61.8556","-24.03113333",2018,"sin_pendiente",2018
34088027,"Chaco SemiÃƒÂ¡rido","6.970731707","7.239479012","12.25335308",40,"-61.854","-24.21165",2018,"sin_pendiente",2018
34089023,"Chaco SemiÃƒÂ¡rido","5.438461538","2.981514069","5.351482074",26,"-61.75905","-23.84983333",2018,"sin_pendiente",2018
34089024,"Chaco SemiÃƒÂ¡rido","6.007142857","3.808887153","7.610941193",28,"-61.75818333","-23.94015",2018,"sin_pendiente",2018
34089026,"Chaco SemiÃƒÂ¡rido","7.063333333","5.338618145","12.09110655",30,"-61.75646667","-24.12063333",2018,"sin_pendiente",2018
34089027,"Chaco SemiÃƒÂ¡rido","5.352","3.038252918","4.669611091",25,"-61.75558333","-24.21088333",2018,"sin_pendiente",2018
